time,temperature_2m_min,temperature_2m_max,precipitation_sum,ville,source
2023-06-13,9.9,22.1,0.0,Antananarivo,open-meteo
2023-06-14,9.1,22.6,0.0,Antananarivo,open-meteo
2023-06-15,11.1,22.5,0.0,Antananarivo,open-meteo
2023-06-16,10.0,22.6,0.0,Antananarivo,open-meteo
2023-06-17,8.4,23.5,0.0,Antananarivo,open-meteo
2023-06-18,10.1,21.0,0.2,Antananarivo,open-meteo
2023-06-19,11.0,20.2,0.0,Antananarivo,open-meteo
2023-06-20,10.1,20.2,0.0,Antananarivo,open-meteo
2023-06-21,9.8,20.2,0.0,Antananarivo,open-meteo
2023-06-22,9.5,20.5,0.0,Antananarivo,open-meteo
2023-06-23,11.3,20.9,0.0,Antananarivo,open-meteo
2023-06-24,11.4,20.7,0.0,Antananarivo,open-meteo
2023-06-25,10.9,20.3,0.0,Antananarivo,open-meteo
2023-06-26,8.1,20.4,0.0,Antananarivo,open-meteo
2023-06-27,5.3,20.5,0.0,Antananarivo,open-meteo
2023-06-28,5.1,19.8,0.0,Antananarivo,open-meteo
2023-06-29,7.4,20.0,0.0,Antananarivo,open-meteo
2023-06-30,11.8,20.5,0.0,Antananarivo,open-meteo
2023-07-01,11.2,22.0,0.0,Antananarivo,open-meteo
2023-07-02,10.5,19.6,0.0,Antananarivo,open-meteo
2023-07-03,11.6,19.0,0.0,Antananarivo,open-meteo
2023-07-04,8.7,17.3,0.3,Antananarivo,open-meteo
2023-07-05,10.3,20.2,0.5,Antananarivo,open-meteo
2023-07-06,10.9,21.5,0.0,Antananarivo,open-meteo
2023-07-07,11.5,19.3,0.0,Antananarivo,open-meteo
2023-07-08,13.0,19.0,0.3,Antananarivo,open-meteo
2023-07-09,9.6,20.1,0.1,Antananarivo,open-meteo
2023-07-10,8.9,21.5,0.5,Antananarivo,open-meteo
2023-07-11,11.9,23.9,0.0,Antananarivo,open-meteo
2023-07-12,10.1,21.6,0.0,Antananarivo,open-meteo
2023-07-13,10.3,21.1,0.0,Antananarivo,open-meteo
2023-07-14,11.2,20.2,0.3,Antananarivo,open-meteo
2023-07-15,9.3,18.5,0.0,Antananarivo,open-meteo
2023-07-16,8.6,20.6,0.0,Antananarivo,open-meteo
2023-07-17,10.9,20.3,0.3,Antananarivo,open-meteo
2023-07-18,10.2,20.7,0.2,Antananarivo,open-meteo
2023-07-19,9.6,19.3,0.7,Antananarivo,open-meteo
2023-07-20,10.7,23.2,0.0,Antananarivo,open-meteo
2023-07-21,12.0,21.2,0.0,Antananarivo,open-meteo
2023-07-22,11.6,20.9,0.0,Antananarivo,open-meteo
2023-07-23,11.3,20.8,0.0,Antananarivo,open-meteo
2023-07-24,10.8,21.9,0.0,Antananarivo,open-meteo
2023-07-25,11.2,24.5,0.0,Antananarivo,open-meteo
2023-07-26,11.3,20.8,0.0,Antananarivo,open-meteo
2023-07-27,9.2,20.9,0.0,Antananarivo,open-meteo
2023-07-28,9.9,21.1,0.0,Antananarivo,open-meteo
2023-07-29,9.6,20.5,0.0,Antananarivo,open-meteo
2023-07-30,10.2,23.1,0.0,Antananarivo,open-meteo
2023-07-31,11.5,23.7,0.0,Antananarivo,open-meteo
2023-08-01,12.5,24.4,0.1,Antananarivo,open-meteo
2023-08-02,11.1,21.2,0.0,Antananarivo,open-meteo
2023-08-03,10.3,20.9,0.9,Antananarivo,open-meteo
2023-08-04,10.2,18.6,0.0,Antananarivo,open-meteo
2023-08-05,10.6,19.6,0.2,Antananarivo,open-meteo
2023-08-06,11.0,19.3,0.0,Antananarivo,open-meteo
2023-08-07,9.2,21.1,0.6,Antananarivo,open-meteo
2023-08-08,12.5,21.3,23.3,Antananarivo,open-meteo
2023-08-09,10.8,20.8,0.1,Antananarivo,open-meteo
2023-08-10,11.7,22.1,0.0,Antananarivo,open-meteo
2023-08-11,12.4,21.4,0.8,Antananarivo,open-meteo
2023-08-12,12.4,23.0,0.3,Antananarivo,open-meteo
2023-08-13,10.6,22.8,0.2,Antananarivo,open-meteo
2023-08-14,14.7,22.3,10.5,Antananarivo,open-meteo
2023-08-15,13.5,23.1,0.8,Antananarivo,open-meteo
2023-08-16,12.1,23.9,0.6,Antananarivo,open-meteo
2023-08-17,12.3,21.1,1.1,Antananarivo,open-meteo
2023-08-18,14.0,21.6,0.9,Antananarivo,open-meteo
2023-08-19,14.1,24.4,0.0,Antananarivo,open-meteo
2023-08-20,13.0,25.5,0.0,Antananarivo,open-meteo
2023-08-21,11.6,25.0,0.0,Antananarivo,open-meteo
2023-08-22,11.7,23.0,0.0,Antananarivo,open-meteo
2023-08-23,11.2,21.3,0.0,Antananarivo,open-meteo
2023-08-24,11.7,23.4,0.2,Antananarivo,open-meteo
2023-08-25,14.2,22.2,0.1,Antananarivo,open-meteo
2023-08-26,12.6,21.6,0.4,Antananarivo,open-meteo
2023-08-27,14.1,24.4,0.0,Antananarivo,open-meteo
2023-08-28,11.4,22.1,0.0,Antananarivo,open-meteo
2023-08-29,12.5,20.7,1.1,Antananarivo,open-meteo
2023-08-30,12.0,20.3,0.0,Antananarivo,open-meteo
2023-08-31,10.3,21.0,0.0,Antananarivo,open-meteo
2023-09-01,9.9,23.0,0.0,Antananarivo,open-meteo
2023-09-02,12.1,22.5,0.0,Antananarivo,open-meteo
2023-09-03,10.4,20.3,0.3,Antananarivo,open-meteo
2023-09-04,12.2,21.2,0.7,Antananarivo,open-meteo
2023-09-05,11.7,22.5,0.0,Antananarivo,open-meteo
2023-09-06,10.3,25.2,0.0,Antananarivo,open-meteo
2023-09-07,10.8,26.5,0.0,Antananarivo,open-meteo
2023-09-08,10.9,23.4,0.0,Antananarivo,open-meteo
2023-09-09,9.8,23.9,0.0,Antananarivo,open-meteo
2023-09-10,10.1,23.3,0.0,Antananarivo,open-meteo
2023-09-11,9.7,23.4,0.0,Antananarivo,open-meteo
2023-09-12,8.2,24.8,0.0,Antananarivo,open-meteo
2023-09-13,10.3,23.8,0.0,Antananarivo,open-meteo
2023-09-14,11.9,23.8,0.0,Antananarivo,open-meteo
2023-09-15,11.7,23.1,0.0,Antananarivo,open-meteo
2023-09-16,10.9,23.2,0.0,Antananarivo,open-meteo
2023-09-17,10.1,26.2,0.0,Antananarivo,open-meteo
2023-09-18,10.3,23.4,0.0,Antananarivo,open-meteo
2023-09-19,10.1,22.8,0.1,Antananarivo,open-meteo
2023-09-20,14.2,23.8,0.0,Antananarivo,open-meteo
2023-09-21,11.3,26.0,0.0,Antananarivo,open-meteo
2023-09-22,11.2,24.9,0.0,Antananarivo,open-meteo
2023-09-23,15.1,21.8,0.2,Antananarivo,open-meteo
2023-09-24,12.1,23.3,0.1,Antananarivo,open-meteo
2023-09-25,11.1,24.1,0.0,Antananarivo,open-meteo
2023-09-26,9.4,22.7,0.0,Antananarivo,open-meteo
2023-09-27,11.7,22.3,0.4,Antananarivo,open-meteo
2023-09-28,10.9,22.2,0.2,Antananarivo,open-meteo
2023-09-29,11.2,24.4,0.0,Antananarivo,open-meteo
2023-09-30,11.7,27.1,0.0,Antananarivo,open-meteo
2023-10-01,13.6,29.0,0.0,Antananarivo,open-meteo
2023-10-02,14.5,28.5,1.2,Antananarivo,open-meteo
2023-10-03,14.2,22.3,0.0,Antananarivo,open-meteo
2023-10-04,13.4,23.7,0.0,Antananarivo,open-meteo
2023-10-05,14.0,25.1,0.2,Antananarivo,open-meteo
2023-10-06,12.5,25.8,0.0,Antananarivo,open-meteo
2023-10-07,11.3,26.3,0.0,Antananarivo,open-meteo
2023-10-08,9.7,28.8,0.0,Antananarivo,open-meteo
2023-10-09,13.3,28.7,0.0,Antananarivo,open-meteo
